Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5PwYLJ6zqtbEVPmtQifzpf,Farther Than The Sun,Fortress,Alter Bridge,1/1/2013,247406,32,FALSE,,2023-08-29T20:44:44Z,"post-grunge,alternative metal,hard rock",ALTER BRIDGE (AB2),0.32,0.982,6,-4.582,1,0.145,0.0000122,0.0000992,0.186,0.249,79.52,4
spotify:track:4Tn4WAHRrSOQMLAZKnN8A1,Farther Than the Sun - Live,Live at the O2 Arena,Alter Bridge,9/8/2017,260560,22,FALSE,,2023-08-29T20:36:39Z,"post-grunge,alternative metal,hard rock",Napalm Records Handels GmbH,0.19,0.981,1,-4.44,1,0.276,0.000108,0.000201,0.901,0.174,79.848,4
spotify:track:5gMEMaqm74DwNKxZ0RfWM6,Beethoven's 5 Secrets,The Piano Guys,The Piano Guys;Lyceum Philharmonic at American Heritage School;Julie Ann Nelson;John Nelson,2012,309773,50,FALSE,,2023-08-28T20:27:37Z,"classical crossover,opera",Portrait/Sony Masterworks,0.302,0.515,2,-9.303,1,0.0414,0.795,0.904,0.079,0.111,150.285,4
spotify:track:6olS0TmHmsGr0hXtcBsiVM,A Tout Le Monde - Remastered 2004,Youthanasia (Expanded Edition - Remastered),Megadeth,10/28/1994,262133,68,FALSE,,2023-08-28T19:16:21Z,"thrash metal,metal,heavy metal,speed metal",Capitol Records,0.272,0.747,5,-4.86,0,0.0401,0.000393,0.0000403,0.16,0.255,202.777,4
spotify:track:69AIpwGNLxr4qS1X5ynx60,Buy Dirt,Buy Dirt,Jordan Davis;Luke Bryan,5/21/2021,167480,80,FALSE,,2023-08-27T18:19:38Z,"country,pop country,acoustic country",MCA Nashville,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,4
spotify:track:0uybt73QFXaLCoxuVf6fhm,It's Not My Time,3 Doors Down,3 Doors Down,1/1/2008,241960,71,FALSE,,2023-08-27T18:07:19Z,post-grunge,Universal (MT),0.532,0.935,0,-4.798,1,0.0619,0.00133,0.00000837,0.106,0.309,128.025,4
spotify:track:4ZD6SiaJi75smnel0d7jl3,Spiderwebs,Tragic Kingdom,No Doubt,10/10/1995,266760,69,FALSE,,2023-08-25T18:02:36Z,,Trauma,0.49,0.852,10,-7.192,1,0.0502,0.0376,0.00000221,0.126,0.663,143.248,4
spotify:track:2d6m2F4I7wCuAKtSsdhh83,Famous Last Words,The Black Parade,My Chemical Romance,10/20/2006,299226,80,FALSE,,2023-08-23T13:42:55Z,"emo,pop punk",Reprise,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
spotify:track:2DDDzxzFpgTQx4AEKRO3zz,Revolution,All Or Nothing (Deluxe Edition),Pennywise,5/1/2012,205640,57,FALSE,,2023-08-23T13:19:43Z,"punk,skate punk,ska punk,melodic hardcore,ska,hardcore punk",Epitaph,0.534,0.962,2,-4.129,1,0.0568,0.0006,0.0263,0.113,0.737,106.48,4
spotify:track:1S9PodZROIorEa6OchvOoZ,Broken Mirrors,Endgame,Rise Against,1/1/2011,234693,46,FALSE,,2023-08-23T13:09:13Z,"punk,hardcore punk",Geffen,0.278,0.93,3,-3.17,0,0.0871,0.000121,0.000105,0.0763,0.56,142.061,4
spotify:track:4p1IxCvnWCUmacLP4bhmQT,Road To Nowhere,Scream Aim Fire Deluxe Edition,Bullet For My Valentine,12/9/2008,259519,40,FALSE,,2023-08-23T13:05:13Z,"metalcore,metal",Jive,0.295,0.563,2,-8.686,1,0.0358,0.0305,0,0.0968,0.521,87.067,4
